N. furzeri Protein Id	Human
XP_015808982.1	SCMH1
XP_015805594.1	SCMH1
XP_015826965.1	RGS12
XP_015802388.1	RGS12
XP_015817251.1	CAMKK1
XP_015807144.1	SNAPC1
XP_015824517.1	SNAPC1
XP_015829613.1	
XP_015803128.1	ESR2
XP_015824543.1	ESR2
XP_015821788.1	NQO2
XP_015821822.1	NQO2
XP_015806800.1	TMEM33
XP_015809204.1	PACSIN3
XP_015804219.1	PACSIN3
XP_015818941.1	PACSIN3
XP_015813262.1	SOX2
XP_015826589.1	SOX2
XP_015804494.1	SOX2
XP_015817106.1	TM9SF4
XP_015804051.1	MPG
XP_015804256.1	CHIC1
XP_015803830.1	ZNF395
XP_015812812.1	ZSWIM5
XP_015826079.1	FTSJ3
XP_015826464.1	TTC4
XP_015823420.1	ZNF740
XP_015823862.1	
XP_015809793.1	S1PR1
XP_015800714.1	S1PR1
XP_015826719.1	S1PR1
XP_015810869.1	GPR141
XP_015809857.1	CAPN9
XP_015806722.1	CAPN9
XP_015830352.1	VBP1
XP_015814347.1	NAPEPLD
XP_015797662.1	NAPEPLD
XP_015818935.1	ZNF668
XP_015824952.1	GNG2
XP_015808995.1	RS1
XP_015831072.1	RS1
XP_015824613.1	TSSC1
XP_015831742.1	
XP_015799722.1	
XP_015809612.1	
XP_015828394.1	MRPS27
XP_015805857.1	CACNG2
XP_015831381.1	CACNG2
XP_015799021.1	CACNG2
XP_015811832.1	MYO9B
XP_015826772.1	MYO9B
XP_015815845.1	
XP_015824245.1	SLC35C2
XP_015824938.1	VTI1B
XP_015814551.1	AKR7A2
XP_015824318.1	ART1
XP_015825581.1	ATXN3
XP_015813097.1	LRRC52
XP_015831603.1	LRRC52
XP_015825096.1	DNAJC30
XP_015806892.1	DNAJC30
XP_015809202.1	GLG1
XP_015831989.1	GLG1
XP_015799481.1	
XP_015813902.1	RPL22
XP_015824154.1	RPL22
XP_015813268.1	ZCCHC4
XP_015825758.1	CRIM1
XP_015830382.1	CRIM1
XP_015819490.1	TAF3
XP_015811197.1	SLC6A18
XP_015806187.1	BLVRB
XP_015828747.1	BLVRB
XP_015821762.1	PIN1
XP_015813471.1	DYNLT1
XP_015821704.1	DYNLT1
XP_015802700.1	DYNLT1
XP_015824127.1	MTCH1
XP_015827847.1	STC1
XP_015829333.1	STC1
XP_015806569.1	MME
XP_015805312.1	ISPD
XP_015832640.1	ANO9
XP_015819755.1	ANO9
XP_015828158.1	PSEN2
XP_015831808.1	GABRG3
XP_015797462.1	GABRG3
XP_015808025.1	GABRG3
XP_015825212.1	NRDC
XP_015823593.1	DOCK3
XP_015815532.1	DOCK3
XP_015802319.1	CDA
XP_015815002.1	CDA
XP_015798652.1	TNFRSF10A
XP_015832654.1	ZNF208
XP_015797379.1	ZNF208
XP_015804432.1	ZNF208
XP_015818282.1	ZNF208
XP_015806396.1	ZNF208
XP_015819690.1	CACNG3
XP_015800956.1	CACNG3
XP_015801702.1	SLC43A3
XP_015827368.1	SLC43A3
XP_015826863.1	CTB-50L17.10
XP_015819380.1	ZNF277
XP_015797273.1	TBC1D12
XP_015818396.1	USP54
XP_015831792.1	USP54
XP_015821842.1	MOSPD2
XP_015803614.1	EVL
XP_015816175.1	EVL
XP_015825507.1	EVL
XP_015807473.1	EVL
XP_015807677.1	AP3B2
XP_015822030.1	STK39
XP_015807162.1	ARHGEF17
XP_015824678.1	ARHGEF17
XP_015822925.1	NAT6
XP_015824229.1	COL20A1
XP_015811061.1	LRRC34
XP_015831172.1	FGF18
XP_015800785.1	FGF18
XP_015813301.1	PUDP
XP_015832317.1	PTPDC1
XP_015797563.1	PTPDC1
XP_015823662.1	PTPDC1
XP_015820173.1	PTPDC1
XP_015814312.1	CCDC36
XP_015829374.1	FABP3
XP_015823095.1	EPB41L1
XP_015815444.1	EPB41L1
XP_015814975.1	
XP_015820271.1	BHLHE41
XP_015822553.1	BIN2
XP_015815465.1	BIN2
XP_015799108.1	ATP7A
XP_015826845.1	SPATA6
XP_015805287.1	
XP_015823255.1	MKRN2
XP_015813834.1	MKRN2
XP_015805843.1	ZNF865
XP_015828805.1	ZNF865
XP_015817768.1	B3GNT5
XP_015813238.1	B3GNT5
XP_015830461.1	B3GNT5
XP_015797132.1	
XP_015808768.1	FBXO22
XP_015827193.1	KIAA1211
XP_015815253.1	CRBN
XP_015798668.1	SYT6
XP_015804596.1	SPTAN1
XP_015801025.1	SPTAN1
XP_015796676.1	SPTAN1
XP_015831566.1	SPTAN1
XP_015806645.1	SPTAN1
XP_015822233.1	SPTAN1
XP_015819301.1	SPTAN1
XP_015805515.1	SPTAN1
XP_015824294.1	SPTAN1
XP_015816875.1	SPTAN1
XP_015822950.1	SPTAN1
XP_015800990.1	SPTAN1
XP_015831581.1	SPTAN1
XP_015798825.1	SPTAN1
XP_015815227.1	SPTAN1
XP_015830637.1	SPTAN1
XP_015814779.1	SPTAN1
XP_015830437.1	SPTAN1
XP_015823589.1	SPTAN1
XP_015801859.1	SPTAN1
XP_015800277.1	SPTAN1
XP_015811448.1	SPTAN1
XP_015800450.1	TCEA3
XP_015825769.1	AKT1
XP_015819357.1	ABHD2
XP_015801645.1	ABHD2
XP_015824427.1	TSPAN9
XP_015820470.1	TSPAN9
XP_015810171.1	TSPAN9
XP_015824675.1	DCAF5
XP_015806955.1	SPRY1
XP_015798602.1	PDE8B
XP_015828170.1	KIF24
XP_015797191.1	HSPB1
XP_015816005.1	HSPB1
XP_015817266.1	HSPB1
XP_015811305.1	CCDC126
XP_015802333.1	TBC1D19
XP_015799988.1	SFT2D1
XP_015799256.1	GUCY1B3
XP_015804843.1	FAM210A
XP_015821346.1	CRYL1
XP_015827916.1	SLC4A5
XP_015830164.1	SLC4A5
XP_015799368.1	C10orf105
XP_015811335.1	BET1
XP_015796162.1	ME1
XP_015814540.1	PAX7
XP_015818135.1	OCM2
XP_015801215.1	OCM2
XP_015799287.1	PGAM1
XP_015799841.1	PGAM1
XP_015817575.1	TBPL2
XP_015808224.1	TBPL2
XP_015805441.1	RRNAD1
XP_015808048.1	CASK
XP_015815635.1	C21orf91
XP_015802849.1	CDC40
XP_015801445.1	NPTX1
XP_015822261.1	NPTX1
XP_015796418.1	RUSC2
XP_015815730.1	RUSC2
XP_015805369.1	ENSA
XP_015807074.1	GBAS
XP_015817023.1	GBAS
XP_015812888.1	CASQ1
XP_015801802.1	CASQ1
XP_015800381.1	SFR1
XP_015820189.1	BEND7
XP_015811242.1	OXSM
XP_015808713.1	COG5
XP_015819221.1	HEXDC
XP_015823092.1	TTLL9
XP_015806179.1	ERCC2
XP_015813199.1	VWA5B2
XP_015828441.1	MRPS36
XP_015806959.1	AP2S1
XP_015830340.1	AP2S1
XP_015830540.1	RAC3
XP_015806926.1	SIPA1L3
XP_015798776.1	ATP6V1G1
XP_015802057.1	KLHDC2
XP_015825329.1	KLHDC2
XP_015817337.1	PRR7
XP_015815815.1	GNPTAB
XP_015826653.1	TSTA3
XP_015821234.1	ITGB5
XP_015797954.1	COQ4
XP_015829760.1	HPCAL1
XP_015829219.1	HPCAL1
XP_015804826.1	HPCAL1
XP_015802903.1	HPCAL1
XP_015825829.1	DLGAP2
XP_015803214.1	DLGAP2
XP_015815622.1	WSCD1
XP_015805773.1	POU2F2
XP_015829523.1	POU2F2
XP_015810919.1	BLOC1S5
XP_015830361.1	
XP_015821807.1	DOPEY2
XP_015822898.1	SGK2
XP_015819303.1	
XP_015801237.1	TIGIT
XP_015796525.1	
XP_015823093.1	EDN3
XP_015826948.1	UQCRHL
XP_015827003.1	SEC22B
XP_015809467.1	TUBGCP4
XP_015824672.1	HIST2H3D
XP_015819287.1	HIST2H3D
XP_015796985.1	HIST2H3D
XP_015810053.1	HIST2H3D
XP_015799298.1	HIST2H3D
XP_015824657.1	HIST2H3D
XP_015806498.1	HIST2H3D
XP_015796231.1	HIST2H3D
XP_015810787.1	SEMA5A
XP_015829643.1	SRSF10
XP_015804305.1	
XP_015806390.1	TM4SF4
XP_015816914.1	TM4SF4
XP_015826583.1	TM4SF4
XP_015812572.1	PASK
XP_015831987.1	TMED6
XP_015825473.1	GRHL1
XP_015831330.1	CPS1
XP_015825607.1	MSH4
XP_015801526.1	STK26
XP_015826319.1	GAMT
XP_015806589.1	MED13
XP_015803640.1	
XP_015815549.1	CACNA2D2
XP_015814302.1	CACNA2D2
XP_015830411.1	
XP_015830054.1	TROVE2
XP_015830302.1	RAB9B
XP_015817394.1	TMEM136
XP_015807043.1	TMEM136
XP_015809991.1	TOMM20
XP_015799454.1	TOMM20
XP_015809352.1	ZNF507
XP_015831196.1	
XP_015803558.1	HSF2
XP_015831303.1	KLF9
XP_015827873.1	KLF9
XP_015819243.1	MRPL38
XP_015829583.1	FBXL6
XP_015829043.1	RNF115
XP_015805889.1	RNF115
XP_015823990.1	STX10
XP_015832014.1	SACS
XP_015822173.1	SACS
XP_015807464.1	SACS
XP_015814670.1	SHISA4
XP_015814591.1	SHISA4
XP_015826699.1	MYLK4
XP_015812282.1	MYLK4
XP_015812313.1	CRELD2
XP_015832328.1	NAGLU
XP_015816046.1	AC007325.2
XP_015810320.1	RSU1
XP_015817115.1	UFM1
XP_015817775.1	CPT2
XP_015824522.1	WDR89
XP_015803587.1	NDUFA1
XP_015821281.1	HTR2A
XP_015801839.1	HTR2A
XP_015811888.1	ZNF500
XP_015797074.1	ZNF566
XP_015796669.1	ZNF566
XP_015798863.1	TBX22
XP_015817281.1	HSF5
XP_015813829.1	MKRN2OS
XP_015818285.1	COX10
XP_015809641.1	KLF3
XP_015822005.1	KLHL23
XP_015826026.1	KLHL23
XP_015806219.1	CLDN6
XP_015825090.1	CLDN6
XP_015830258.1	CLDN6
XP_015806221.1	CLDN6
XP_015817015.1	CLDN6
XP_015798253.1	CAND1
XP_015818026.1	CAND1
XP_015800248.1	CAND1
XP_015829201.1	
XP_015817409.1	DTX2
XP_015804354.1	DTX2
XP_015804548.1	KDF1
XP_015829996.1	KDF1
XP_015811862.1	
XP_015811859.1	SAMD7
XP_015818760.1	SIRPA
XP_015826603.1	HPS3
XP_015831010.1	TRAF3IP2
XP_015829802.1	TRAF3IP2
XP_015817082.1	
XP_015829526.1	CIC
XP_015805777.1	CIC
XP_015800814.1	FBXO6
XP_015822691.1	FBXO6
XP_015804962.1	FHL1
XP_015816789.1	FHL1
XP_015816445.1	SLC6A7
XP_015831837.1	ROGDI
XP_015821836.1	KLHL6
XP_015814207.1	PSMF1
XP_015818836.1	USP31
XP_015804083.1	USP31
XP_015820927.1	CECR1
XP_015815991.1	CECR1
XP_015828984.1	SPACA4
XP_015805975.1	SPACA4
XP_015832248.1	SPATC1L
XP_015822987.1	SMOC2
XP_015824814.1	NUMB
XP_015825746.1	RYR3
XP_015815579.1	RYR3
XP_015825745.1	RYR3
XP_015800041.1	RYR3
XP_015796663.1	RYR3
XP_015796344.1	RYR3
XP_015802574.1	RYR3
XP_015803164.1	RYR3
XP_015798526.1	
XP_015809307.1	PDCD2
XP_015830402.1	
XP_015816329.1	LRCH2
XP_015830881.1	AMN
XP_015796944.1	ALOX15B
XP_015819581.1	GSE1
XP_015808395.1	GSE1
XP_015828809.1	CACNG7
XP_015805856.1	CACNG7
XP_015798955.1	SLC30A5
XP_015807580.1	POU2AF1
XP_015819151.1	DESI1
XP_015829921.1	DESI1
XP_015809240.1	MYOD1
XP_015825467.1	CPSF3
XP_015803370.1	CPSF3
XP_015821367.1	IL1R1
XP_015821046.1	IL1R1
XP_015824113.1	CAV2
XP_015819306.1	CAV2
XP_015814389.1	CAV2
XP_015822409.1	CCDC103
XP_015813507.1	
XP_015827744.1	C4orf33
XP_015796228.1	RC3H2
XP_015813887.1	NMUR2
XP_015829833.1	NMUR2
XP_015798229.1	
XP_015798407.1	MAPK10
XP_015824443.1	TPSB2
XP_015818225.1	KLHDC1
XP_015825323.1	KLHDC1
XP_015807400.1	ESAM
XP_015829665.1	EDN1
XP_015829080.1	EFNA3
XP_015805919.1	EFNA3
XP_015830330.1	AKT2
XP_015820701.1	CALB2
XP_015808436.1	CALB2
XP_015809159.1	RBPMS2
XP_015806030.1	TOMM40
XP_015799891.1	XPO5
XP_015826371.1	COQ7
XP_015808721.1	TPPP3
XP_015823647.1	TPPP3
XP_015799961.1	MSH6
XP_015803440.1	RIPPLY2
XP_015805187.1	MYOM3
XP_015829260.1	GMPR
XP_015802275.1	GMPR
XP_015830975.1	RMDN3
XP_015799561.1	RMDN3
XP_015811164.1	RPL14
XP_015818984.1	DLX1
XP_015800681.1	DLX1
XP_015821977.1	DLX1
XP_015812878.1	CBLN1
XP_015797381.1	CBLN1
XP_015830155.1	CBLN1
XP_015818419.1	NRXN1
XP_015799938.1	NRXN1
XP_015830416.1	LIPT2
XP_015828045.1	THOC5
XP_015815816.1	CCDC180
XP_015796495.1	
XP_015803030.1	MLLT4
XP_015824713.1	MLLT4
XP_015826768.1	GHRHR
XP_015804360.1	ZNF652
XP_015803493.1	
XP_015831404.1	FEZ2
XP_015803550.1	FEZ2
XP_015818458.1	LHPP
XP_015826275.1	CCDC124
XP_015823417.1	HNRNPA1
XP_015821940.1	HNRNPA1
XP_015828308.1	PLK2
XP_015818455.1	EPS8
XP_015827738.1	VPS33A
XP_015817982.1	ANKRD22
XP_015825121.1	FNDC3B
XP_015829136.1	
XP_015816470.1	MTMR2
XP_015832810.1	MAP2K4
XP_015832743.1	MAP2K4
XP_015812680.1	PIP5K1C
XP_015827124.1	PIP5K1C
XP_015808044.1	FRMPD4
XP_015821862.1	FRMPD4
XP_015810680.1	BOC
XP_015820169.1	ODF3
XP_015821710.1	BCAR3
XP_015826608.1	BCAR3
XP_015830466.1	
XP_015798311.1	
XP_015799334.1	SIRT1
XP_015824021.1	SCRT2
XP_015829095.1	SCRT2
XP_015806144.1	SCRT2
XP_015811979.1	GIN1
XP_015822110.1	GIN1
XP_015813023.1	GIN1
XP_015817594.1	GIN1
XP_015830983.1	GIN1
XP_015796445.1	GIN1
XP_015797314.1	GIN1
XP_015804248.1	GIN1
XP_015800666.1	GIN1
XP_015802701.1	GIN1
XP_015817880.1	GIN1
XP_015832467.1	HK2
XP_015813034.1	HK2
XP_015827432.1	HK2
XP_015799546.1	CEP68
XP_015810696.1	URAD
XP_015832323.1	HECTD2
XP_015830119.1	HECTD2
XP_015810007.1	ATP6V0E1
XP_015809182.1	ATP6V0E1
XP_015826342.1	JUND
XP_015822413.1	SAMD14
XP_015818632.1	RBP4
XP_015796343.1	RBP4
XP_015827032.1	MYO5A
XP_015819722.1	MYO5A
XP_015832580.1	MYO5A
XP_015822651.1	SALL4
XP_015822705.1	CHIA
XP_015822710.1	CHIA
XP_015797201.1	CHIA
XP_015797199.1	CHIA
XP_015822711.1	CHIA
XP_015822709.1	CHIA
XP_015798002.1	
XP_015826176.1	RNF13
XP_015801771.1	RRBP1
XP_015799639.1	RRBP1
XP_015829696.1	RRBP1
XP_015821772.1	
XP_015820315.1	FBXL18
XP_015832130.1	B4GALT1
XP_015808112.1	B4GALT1
XP_015810876.1	B4GALT1
XP_015830586.1	B4GALT1
XP_015805778.1	ZNF574
XP_015813456.1	SH3YL1
XP_015799446.1	GNG4
XP_015823067.1	CCDC30
XP_015814506.1	CCDC30
XP_015809002.1	FSD2
XP_015807328.1	DSCAM
XP_015815681.1	DSCAM
XP_015799502.1	DSCAM
XP_015827846.1	IDO2
XP_015800339.1	IDO2
XP_015829647.1	FABP6
XP_015799586.1	FABP6
XP_015805542.1	FABP6
XP_015812814.1	FABP6
XP_015819034.1	GID4
XP_015801188.1	GID4
XP_015799214.1	NDUFB6
XP_015813853.1	KHK
XP_015809284.1	RUFY2
XP_015824324.1	PTPN7
XP_015809639.1	ZCCHC7
XP_015801926.1	ZCCHC7
XP_015809097.1	C12orf45
XP_015803257.1	SMPDL3A
XP_015816242.1	PPP3CA
XP_015806755.1	PPP3CA
XP_015822363.1	PPP3CA
XP_015801696.1	PPP3CA
XP_015811325.1	NUFIP2
XP_015816547.1	NUFIP2
XP_015832406.1	NET1
XP_015819493.1	NET1
XP_015800030.1	KNDC1
XP_015796725.1	KNDC1
XP_015800029.1	KNDC1
XP_015796739.1	
XP_015799924.1	COL19A1
XP_015813677.1	FOCAD
XP_015819763.1	CD81
XP_015809362.1	CD81
XP_015821382.1	CACNB4
XP_015807808.1	CACNB4
XP_015815266.1	EEFSEC
XP_015811425.1	EVX1
XP_015796498.1	EVX1
XP_015798054.1	C9orf16
XP_015802169.1	INHA
XP_015810853.1	MSRB2
XP_015812942.1	TMBIM1
XP_015822303.1	TMBIM1
XP_015818840.1	COG7
XP_015828991.1	RPS5
XP_015801776.1	SYT4
XP_015796493.1	SYT4
XP_015803085.1	PBK
XP_015808101.1	TGFBI
XP_015821824.1	RPE
XP_015825663.1	CD209
XP_015805421.1	CD209
XP_015821068.1	CD209
XP_015801494.1	DRAP1
XP_015803592.1	ARF6
XP_015825598.1	ARF6
XP_015807350.1	ARF6
XP_015808347.1	REC114
XP_015808174.1	OXGR1
XP_015826502.1	MPL
XP_015805535.1	RHBDL2
XP_015819389.1	DUS2
XP_015815707.1	ANKRD31
XP_015812848.1	IFRD1
XP_015822886.1	IFRD1
XP_015819185.1	
XP_015821220.1	UTP14A
XP_015828790.1	SLA
XP_015800170.1	
XP_015808250.1	EVA1A
XP_015830584.1	SORL1
XP_015830263.1	SORL1
XP_015812987.1	SORL1
XP_015807563.1	SORL1
XP_015796685.1	XRCC2
XP_015805570.1	GRIK3
XP_015799723.1	TMCO6
XP_015806409.1	COL4A2
XP_015801875.1	COL4A2
XP_015806408.1	COL4A2
XP_015805392.1	ARHGEF2
XP_015828333.1	DOCK8
XP_015800025.1	IDE
XP_015825459.1	MBOAT2
XP_015796227.1	MBOAT2
XP_015818693.1	DCAF7
XP_015804258.1	DCAF7
XP_015822526.1	IGFBP6
XP_015815170.1	IGFBP6
XP_015802252.1	TESK2
XP_015811589.1	TESK2
XP_015809960.1	TESK2
XP_015797165.1	SPG21
XP_015799842.1	FAM21C
XP_015825895.1	HMGCL
XP_015805413.1	BMPER
XP_015805717.1	FGFRL1
XP_015825549.1	FGFRL1
XP_015821036.1	ZNF330
XP_015829723.1	LRRC24
XP_015812832.1	LRRC24
XP_015806018.1	CD79B
XP_015818232.1	CD79B
XP_015811342.1	CDK6
XP_015804321.1	CDK6
XP_015796733.1	SKAP2
XP_015806240.1	SKAP2
XP_015816510.1	ATRX
XP_015798801.1	ATRX
XP_015829370.1	SNRNP40
XP_015802941.1	SNRNP40
XP_015830130.1	KHDRBS2
XP_015799917.1	KHDRBS2
XP_015804625.1	
XP_015823075.1	ALAS2
XP_015820176.1	MAPK8IP2
XP_015815506.1	FAM83D
XP_015808400.1	CECR6
XP_015808309.1	NKD1
XP_015808308.1	NKD1
XP_015827309.1	GOLGA1
XP_015801089.1	PDGFA
XP_015797515.1	PDGFA
XP_015817084.1	PDS5B
XP_015815725.1	
XP_015797467.1	BMPR1B
XP_015828215.1	BMPR1B
XP_015815091.1	INPP1
XP_015829149.1	NDUFV1
XP_015822578.1	PTPN12
XP_015813943.1	PTPN12
XP_015809117.1	SENP8
XP_015824947.1	PYGL
XP_015808568.1	SCUBE2
XP_015801542.1	
XP_015799115.1	HIC2
XP_015828636.1	HIC2
XP_015821825.1	IGSF3
XP_015821826.1	IGSF3
XP_015827396.1	RCHY1
XP_015825557.1	REEP2
XP_015799458.1	REEP2
XP_015823424.1	ST3GAL5
XP_015799820.1	ST3GAL5
XP_015825397.1	PPP2R5C
XP_015816499.1	DNAJB13
XP_015808208.1	CA7
XP_015830438.1	STC2
XP_015808669.1	TMED3
XP_015832755.1	CCDC107
XP_015806056.1	SETDB1
XP_015829055.1	SETDB1
XP_015800462.1	SETDB1
XP_015829034.1	SETDB1
XP_015818580.1	FKBP10
XP_015829911.1	FKBP10
XP_015808594.1	GYS2
XP_015823633.1	TUSC3
XP_015805361.1	TMOD4
XP_015824309.1	VCAN
XP_015827978.1	VCAN
XP_015829417.1	VCAN
XP_015831572.1	VCAN
XP_015832132.1	PEG10
XP_015824387.1	PEG10
XP_015796723.1	ZNF333
XP_015816334.1	ZNF333
XP_015800067.1	ZNF333
XP_015829382.1	CLASP2
XP_015832272.1	ABHD8
XP_015826389.1	ABHD8
XP_015807474.1	SLC37A4
XP_015815665.1	SLC37A4
XP_015802285.1	HOMEZ
XP_015812859.1	HOMEZ
XP_015815742.1	GLE1
XP_015810275.1	CDC123
XP_015808502.1	NEDD4
XP_015827824.1	PTCHD2
XP_015828527.1	EWSR1
XP_015809400.1	EPRS
XP_015805101.1	CNTNAP4
XP_015826551.1	CNTNAP4
XP_015800037.1	CNTNAP4
XP_015811554.1	CNTNAP4
XP_015804194.1	MAP3K14
XP_015817669.1	MAP3K14
XP_015818742.1	MAZ
XP_015829716.1	MAZ
XP_015814826.1	CD8B
XP_015805767.1	PVRL2
XP_015825413.1	MTFR1L
XP_015816007.1	SRRM4
XP_015825021.1	LACE1
XP_015802672.1	LACE1
XP_015814187.1	FAM208A
XP_015832516.1	FAM208A
XP_015820754.1	CYB5R2
XP_015814894.1	DNAI1
XP_015821674.1	DNAI1
XP_015816505.1	KCNK13
XP_015805832.1	
XP_015815315.1	THUMPD3
XP_015808625.1	SAA1
XP_015799892.1	TP53BP2
XP_015806263.1	TP53BP2
XP_015809977.1	TP53BP2
XP_015808574.1	TMEM9B
XP_015828824.1	LRRC16A
XP_015816911.1	LRRC16A
XP_015804568.1	LRRC16A
XP_015819608.1	IL17C
XP_015824647.1	PCNX
XP_015810243.1	GLI3
XP_015814409.1	CACNA2D4
XP_015807766.1	CACNA2D4
XP_015805436.1	RHBG
XP_015796841.1	C16orf87
XP_015810828.1	PKD1L1
XP_015796856.1	
XP_015815431.1	LUM
XP_015815080.1	LUM
XP_015816631.1	MPP1
XP_015806999.1	RSRC1
XP_015817634.1	GPRC5C
XP_015809322.1	CEP83
XP_015806531.1	KPNA4
XP_015826302.1	LRP8
XP_015813143.1	LRP8
XP_015813215.1	LRP8
XP_015826490.1	LRP8
XP_015809041.1	SLC12A1
XP_015827486.1	GALNT9
XP_015827012.1	SSBP3
XP_015826974.1	SSBP3
XP_015825195.1	SSBP3
XP_015831794.1	ZNF365
XP_015824440.1	PPP4C
XP_015831790.1	VSTM2A
XP_015805147.1	ENOX1
XP_015821301.1	ENOX1
XP_015805667.1	CLCN1
XP_015829471.1	CLCN1
XP_015797941.1	NADSYN1
XP_015810175.1	CHMP5
XP_015812073.1	CHMP5
XP_015817114.1	TRPC4
XP_015806856.1	TRPC4
XP_015811033.1	
XP_015827000.1	C1orf21
XP_015809019.1	GATM
XP_015804205.1	TRIM16L
XP_015826758.1	TRIM16L
XP_015830729.1	ZCCHC3
XP_015826916.1	LPXN
XP_015828143.1	DAO
XP_015822165.1	MYADM
XP_015802093.1	MYADM
XP_015811605.1	MYADM
XP_015801266.1	MYADM
XP_015805914.1	KRTCAP2
XP_015824176.1	PEX10
XP_015828280.1	CCSER1
XP_015803237.1	CAD
XP_015805138.1	PSMC4
XP_015814261.1	CARD19
XP_015809327.1	
XP_015804168.1	TUBG1
XP_015813225.1	
XP_015820952.1	SLC23A2
XP_015819289.1	SLC23A2
XP_015828472.1	SLC23A2
XP_015823732.1	PPHLN1
XP_015813271.1	PPHLN1
XP_015796125.1	PPHLN1
XP_015810219.1	
XP_015813653.1	TMEM229A
XP_015803363.1	ALLC
XP_015830548.1	RGS19
XP_015825918.1	PAX1
XP_015830037.1	IL11RA
XP_015820365.1	OSBPL5
XP_015828656.1	PAIP1
XP_015812881.1	TOX4
XP_015801814.1	TOX4
XP_015821726.1	ANKRD10
XP_015813324.1	ANKRD10
XP_015815038.1	PER3
XP_015797037.1	SLC25A11
XP_015811603.1	NCSTN
XP_015830239.1	
XP_015816362.1	C2CD2L
XP_015819877.1	RPL4
XP_015809869.1	LGALSL
XP_015824944.1	LGALSL
XP_015800489.1	LGALSL
XP_015813334.1	ARHGAP1
XP_015805372.1	CTSK
XP_015815354.1	BYSL
XP_015832005.1	NRG2
XP_015807877.1	NRG2
XP_015816232.1	NRG2
XP_015810092.1	NPHP3
XP_015814624.1	DCTN2
XP_015797676.1	C1QTNF3-AMACR
XP_015808578.1	STK33
XP_015815233.1	B4GALNT1
XP_015823349.1	B4GALNT1
XP_015800948.1	NDUFAB1
XP_015796396.1	ORAOV1
XP_015818430.1	GPR19
XP_015826052.1	PRRG1
XP_015797182.1	TAOK3
XP_015816015.1	TAOK3
XP_015800782.1	C7orf55
XP_015816162.1	CRTAM
XP_015802787.1	MOXD1
XP_015802783.1	MOXD1
XP_015825174.1	AKAP9
XP_015829105.1	AKAP9
XP_015799654.1	PDZD7
XP_015818241.1	PDZD7
XP_015799655.1	PDZD7
XP_015831831.1	HBEGF
XP_015801955.1	NOP58
XP_015797880.1	SAMSN1
XP_015826946.1	HTT
XP_015806890.1	WBSCR22
XP_015808620.1	POLR2L
XP_015818163.1	LGR5
XP_015797996.1	LGR5
XP_015811664.1	ZZZ3
XP_015828967.1	NEU1
XP_015828969.1	NEU1
XP_015803321.1	INF2
XP_015825770.1	INF2
XP_015803320.1	INF2
XP_015800304.1	KLF5
XP_015817430.1	KLF5
XP_015821483.1	KLF5
XP_015806412.1	RNPEPL1
XP_015821745.1	TNFSF13B
XP_015819433.1	WNT7B
XP_015812518.1	WNT7B
XP_015810284.1	TNIP1
XP_015832713.1	TNIP1
XP_015798118.1	TNIP1
XP_015832691.1	TNIP1
XP_015821985.1	CYBRD1
XP_015817595.1	HTRA1
XP_015800249.1	HTRA1
XP_015832150.1	KIF5C
XP_015813546.1	KIF5C
XP_015825331.1	
XP_015806978.1	IFNAR1
XP_015810604.1	AGTR1
XP_015824658.1	ACTN1
XP_015798818.1	SCAI
XP_015829340.1	KAT2B
XP_015806662.1	PROM1
XP_015799799.1	PROM1
XP_015796239.1	PROM1
XP_015797978.1	PROM1
XP_015796894.1	
XP_015828615.1	PLAT
XP_015815606.1	ZBTB40
XP_015811721.1	TWSG1
XP_015818432.1	ENTPD1
XP_015822027.1	SPC25
XP_015816641.1	DSCR3
XP_015808324.1	RINT1
XP_015802969.1	TCTE1
XP_015827815.1	GFPT1
XP_015831324.1	CST7
XP_015824128.1	NDUFB11
XP_015813797.1	NICN1
XP_015815588.1	GHRH
XP_015805169.1	MGAT1
XP_015811284.1	MGAT1
XP_015822800.1	SUV39H1
XP_015832464.1	AMPD1
XP_015803459.1	DPF1
XP_015832380.1	DPF1
XP_015796103.1	DPF1
XP_015812280.1	WRNIP1
XP_015806124.1	OSGIN2
XP_015814155.1	OSGIN2
XP_015800273.1	P4HA1
XP_015817565.1	P4HA1
XP_015804878.1	EIF3E
XP_015829680.1	EIF3E
XP_015832765.1	AMH
XP_015821735.1	ING1
XP_015821642.1	C2orf49
XP_015805353.1	SCAP
XP_015821972.1	PDK1
XP_015824837.1	HHIPL2
XP_015815280.1	IP6K2
XP_015813939.1	IP6K2
XP_015813903.1	RNF207
XP_015832511.1	ZNF318
XP_015832399.1	ZNF318
XP_015800973.1	ZNF318
XP_015812104.1	THEM6
XP_015812106.1	THEM6
XP_015813289.1	FAM207A
XP_015804397.1	RBFOX3
XP_015819528.1	PNPLA8
XP_015813105.1	PNPLA8
XP_015809300.1	FAM120B
XP_015809892.1	SMARCA4
XP_015800709.1	SMARCA4
XP_015801425.1	GDPD3
XP_015801156.1	ARHGAP17
XP_015819012.1	ARHGAP17
XP_015829551.1	TEKT2
XP_015818723.1	TEKT2
XP_015825418.1	GABRR1
XP_015830967.1	GABRR1
XP_015804286.1	SLC4A1
XP_015818671.1	SLC4A1
XP_015806775.1	PGR
XP_015796179.1	TMEM254
XP_015825376.1	
XP_015818768.1	PHF21B
XP_015809541.1	
XP_015832679.1	
