Gene,XM id,XP id,mean Ka/Ks,mean Ka,mean ks,medaka Ka/Ks,medaka Ka,medaka ks,Stickleback Ka/Ks,Stickleback Ka,Stickleback ks,tetraodon Ka/Ks,tetraodon Ka,tetraodon ks,fugu Ka/Ks,fugu Ka,fugu ks,zebrafish Ka/Ks,zebrafish Ka,zebrafish ks
LOC107390064,XM_015966566.1,XP_015822052.1,0.08206,0.12336,1.5107,0.0714,0.0779,1.0905,0.0727,0.08,1.0999,0.0544,0.1113,2.0456,0.0623,0.1061,1.7024,0.1495,0.2415,1.6151
LOC107390075,XM_015966586.1,XP_015822072.1,0.08668,0.08652,0.98704,0.1043,0.0654,0.6264,0.0721,0.0623,0.8642,0.0688,0.07,1.0177,0.0811,0.0781,0.9627,0.1071,0.1568,1.4642
LOC107390105,XM_015966646.1,XP_015822132.1,0.11616,0.10422,0.9997,0.1644,0.095,0.5778,0.1399,0.0784,0.56,0.112,0.1216,1.0852,0.0878,0.1048,1.1935,0.0767,0.1213,1.582
LOC107390113,XM_015966658.1,XP_015822144.1,0.07866,0.08962,1.18776,0.0613,0.0516,0.8424,0.1114,0.0913,0.8194,0.0453,0.0772,1.7062,0.0827,0.0826,0.9996,0.0926,0.1454,1.5712
LOC107390127,XM_015966676.1,XP_015822162.1,0.01884,0.04168,2.6996,0.0194,0.0279,1.4404,0.0191,0.0329,1.7206,0.0329,0.0449,1.3654,0.0097,0.0421,4.3351,0.0131,0.0606,4.6365
LOC107390153,XM_015966711.1,XP_015822197.1,0.04018,0.05656,1.37256,0.0367,0.0338,0.9197,0.0355,0.0443,1.2475,0.0303,0.0491,1.6192,0.0397,0.0521,1.3121,0.0587,0.1035,1.7643
LOC107390158,XM_015966720.1,XP_015822206.1,0.06668,0.06266,0.8881,0.0854,0.043,0.5035,0.0516,0.043,0.8331,0.0451,0.0336,0.7466,0.0449,0.0418,0.9299,0.1064,0.1519,1.4274
LOC107390165,XM_015966728.1,XP_015822214.1,0.08464,0.14272,1.6741,0.0947,0.0892,0.9413,0.0756,0.098,1.2964,0.0742,0.1327,1.7891,0.0604,0.1254,2.0764,0.1183,0.2683,2.2673
LOC107390168,XM_015966734.1,XP_015822220.1,0.09024,0.0697,0.7821,0.1089,0.0716,0.6574,0.0796,0.0493,0.6198,0.0955,0.0735,0.7702,0.0884,0.0671,0.7595,0.0788,0.087,1.1036
LOC107390187,XM_015966758.1,XP_015822244.1,0.08852,0.1264,1.42928,0.0795,0.1099,1.3824,0.0928,0.1009,1.0874,0.0698,0.1166,1.6708,0.0816,0.1154,1.4148,0.1189,0.1892,1.591
LOC107390215,XM_015966809.1,XP_015822295.1,0.07336,0.14946,2.40158,0.1222,0.113,0.9249,0.0828,0.1199,1.4471,0.0616,0.1538,2.498,0.0466,0.1469,3.1512,0.0536,0.2137,3.9867
LOC107390222,XM_015966818.1,XP_015822304.1,0.08472,0.11284,1.31038,0.0661,0.0908,1.3728,0.0789,0.0957,1.212,0.083,0.0953,1.1486,0.0882,0.0933,1.0577,0.1074,0.1891,1.7608
LOC107390226,XM_015966823.1,XP_015822309.1,0.07138,0.08968,1.33008,0.0363,0.0779,2.1437,0.0712,0.0635,0.8925,0.0708,0.0799,1.1277,0.0749,0.0799,1.0674,0.1037,0.1472,1.4191
LOC107390231,XM_015966829.1,XP_015822315.1,0.11392,0.16964,1.4808,0.1238,0.1354,1.0932,0.1086,0.1196,1.1011,0.0785,0.1451,1.8473,0.0894,0.1357,1.5173,0.1693,0.3124,1.8451
LOC107390233,XM_015966833.1,XP_015822319.1,0.07984,0.0848,1.04976,0.0879,0.0699,0.7947,0.0746,0.0644,0.8632,0.0711,0.0773,1.0873,0.0672,0.073,1.0866,0.0984,0.1394,1.417
LOC107390235,XM_015966835.1,XP_015822321.1,0.11538,0.15004,1.31468,0.0965,0.0779,0.8071,0.1409,0.1287,0.9134,0.1064,0.1603,1.5071,0.0832,0.1476,1.7734,0.1499,0.2357,1.5724
LOC107390237,XM_015966839.1,XP_015822325.1,0.14098,0.08828,0.63244,0.1258,0.0627,0.4986,0.157,0.0785,0.5002,0.134,0.0871,0.65,0.158,0.0916,0.58,0.1301,0.1215,0.9334
LOC107390242,XM_015966853.1,XP_015822339.1,0.03498,0.03892,1.09758,0.0287,0.0224,0.7804,0.0383,0.0354,0.9255,0.0285,0.0359,1.2604,0.0382,0.0393,1.0283,0.0412,0.0616,1.4933
LOC107390251,XM_015966864.1,XP_015822350.1,0.0545,0.08068,1.76644,0.023,0.0396,1.7192,0.0836,0.0834,0.9977,0.0295,0.0725,2.4629,0.024,0.055,2.2923,0.1124,0.1529,1.3601
LOC107390286,XM_015966907.1,XP_015822393.1,0.1409,0.23126,1.6446,0.1158,0.2172,1.8762,0.1419,0.1562,1.1004,0.1432,0.2274,1.5882,0.1271,0.2318,1.8242,0.1765,0.3237,1.834
LOC107390288,XM_015966909.1,XP_015822395.1,0.21892,0.3026,1.42548,0.1623,0.2277,1.403,0.2166,0.2284,1.0541,0.3148,0.3358,1.0666,0.1911,0.3583,1.8744,0.2098,0.3628,1.7293
LOC107390289,XM_015966910.1,XP_015822396.1,0.07974,0.09344,1.18488,0.0898,0.0775,0.8631,0.072,0.0739,1.0274,0.0778,0.0952,1.2238,0.0856,0.0992,1.1581,0.0735,0.1214,1.652
LOC107390290,XM_015966912.1,XP_015822398.1,0.13118,0.1576,1.22732,0.1318,0.211,1.6018,0.1413,0.1333,0.9431,0.1238,0.1466,1.184,0.1504,0.128,0.8512,0.1086,0.1691,1.5565
LOC107390293,XM_015966915.1,XP_015822401.1,0.14934,0.14636,1.08398,0.0228,0.0371,1.6249,0.1626,0.1832,1.1267,0.0417,0.0377,0.9051,0.1363,0.1115,0.818,0.3833,0.3623,0.9452
LOC107390351,XM_015966996.1,XP_015822482.1,0.0401,0.04972,1.2405,0.0418,0.0368,0.8805,0.0452,0.0454,1.0024,0.0316,0.0421,1.331,0.0388,0.0419,1.0797,0.0431,0.0824,1.9089
LOC107390353,XM_015967004.1,XP_015822490.1,0.1077,0.0992,1.34204,0.2477,0.13,0.5248,0.0863,0.0631,0.7308,0.081,0.0844,1.0423,0.0819,0.0714,0.8717,0.0416,0.1471,3.5406
LOC107390372,XM_015967029.1,XP_015822515.1,0.05678,0.0904,1.61826,0.0751,0.0804,1.0695,0.0488,0.0619,1.2705,0.0486,0.0828,1.7019,0.0429,0.0848,1.9754,0.0685,0.1421,2.074
LOC107390373,XM_015967034.1,XP_015822520.1,0.0686,0.11098,1.87262,0.075,0.0938,1.2493,0.0832,0.0948,1.1399,0.077,0.1053,1.3665,0.0695,0.1034,1.488,0.0383,0.1576,4.1194
LOC107390376,XM_015967040.1,XP_015822526.1,0.08904,0.0664,0.74948,0.0876,0.0519,0.592,0.0818,0.0425,0.5194,0.0956,0.0843,0.8819,0.1092,0.0824,0.7552,0.071,0.0709,0.9989
LOC107390378,XM_015967047.1,XP_015822533.1,0.01424,0.01886,1.62788,0.0209,0.0178,0.85,0.0126,0.0154,1.2223,0.0109,0.0203,1.8623,0.0218,0.0257,1.1798,0.005,0.0151,3.025
LOC107390382,XM_015967051.1,XP_015822537.1,0.06802,0.18616,2.84056,0.0565,0.1763,3.121,0.0947,0.171,1.8051,0.0695,0.2122,3.0548,0.0577,0.1792,3.1081,0.0617,0.1921,3.1138
LOC107390385,XM_015967054.1,XP_015822540.1,0.06736,0.06374,0.99654,0.0753,0.057,0.7571,0.0933,0.0531,0.569,0.0456,0.055,1.2051,0.0525,0.0547,1.0402,0.0701,0.0989,1.4113
LOC107390386,XM_015967055.1,XP_015822541.1,0.05548,0.09392,2.20438,0.085,0.0932,1.0954,0.085,0.0796,0.937,0.0514,0.0968,1.8859,0.0268,0.0838,3.128,0.0292,0.1162,3.9756
LOC107390388,XM_015967059.1,XP_015822545.1,0.07892,0.05778,0.67654,0.0956,0.0456,0.4774,0.0655,0.0311,0.4753,0.0629,0.0375,0.5965,0.0596,0.0333,0.5597,0.111,0.1414,1.2738
LOC107390391,XM_015967062.1,XP_015822548.1,0.09252,0.10774,1.2051,0.102,0.0764,0.7488,0.0816,0.0667,0.8167,0.0528,0.1027,1.9461,0.1013,0.0906,0.8939,0.1249,0.2023,1.62
LOC107390395,XM_015967070.1,XP_015822556.1,0.16896,0.10632,0.74054,0.1503,0.0705,0.4687,0.147,0.0776,0.528,0.2085,0.1149,0.5512,0.2429,0.1019,0.4194,0.0961,0.1667,1.7354
LOC107390401,XM_015967079.1,XP_015822565.1,0.08256,0.11828,1.65988,0.1359,0.1228,0.9033,0.0878,0.0851,0.9691,0.0589,0.1098,1.8635,0.0773,0.1024,1.3248,0.0529,0.1713,3.2387
LOC107390413,XM_015967096.1,XP_015822582.1,0.06716,0.05332,0.78354,0.0276,0.0199,0.7214,0.0649,0.0512,0.7895,0.0576,0.0492,0.8544,0.0833,0.0556,0.6668,0.1024,0.0907,0.8856
LOC107390427,XM_015967114.1,XP_015822600.1,0.0878,0.16094,2.06632,0.0869,0.129,1.4848,0.0647,0.1321,2.042,0.1102,0.1206,1.0946,0.1133,0.1337,1.18,0.0639,0.2893,4.5302
LOC107390430,XM_015967126.1,XP_015822612.1,0.06754,0.09624,1.53598,0.0441,0.093,2.1073,0.1004,0.0847,0.8442,0.0401,0.0746,1.8615,0.0527,0.0651,1.2351,0.1004,0.1638,1.6318
LOC107390459,XM_015967175.1,XP_015822661.1,0.03232,0.05716,1.83442,0.0289,0.0433,1.4959,0.0471,0.0633,1.3437,0.0254,0.0557,2.1924,0.0311,0.0479,1.5406,0.0291,0.0756,2.5995
LOC107390461,XM_015967179.1,XP_015822665.1,0.20514,0.20686,1.00488,0.1994,0.1833,0.9189,0.1781,0.1572,0.8829,0.226,0.198,0.876,0.2105,0.1822,0.8652,0.2117,0.3136,1.4814
LOC107390468,XM_015967187.1,XP_015822673.1,0.07726,0.1148,1.40936,0.0711,0.0786,1.1068,0.0576,0.0761,1.3203,0.0472,0.072,1.5269,0.0818,0.0882,1.0782,0.1286,0.2591,2.0146
LOC107390506,XM_015967261.1,XP_015822747.1,0.04466,0.0777,1.88496,0.05,0.0626,1.2501,0.05,0.0677,1.3538,0.0458,0.0753,1.6431,0.0242,0.0773,3.1984,0.0533,0.1056,1.9794
LOC107390507,XM_015967263.1,XP_015822749.1,0.0193,0.06126,3.07756,0.019,0.0235,1.2364,0.0164,0.0283,1.7215,0.0193,0.0786,4.0847,0.0147,0.0592,4.0362,0.0271,0.1167,4.309
LOC107390521,XM_015967288.1,XP_015822774.1,0.04332,0.07384,1.71662,0.0414,0.0468,1.1289,0.0338,0.0541,1.5985,0.0388,0.0597,1.5388,0.0241,0.0576,2.3932,0.0785,0.151,1.9237
LOC107390533,XM_015967316.1,XP_015822802.1,0.0452,0.0656,1.49076,0.0491,0.0577,1.1747,0.05,0.0589,1.1787,0.0377,0.0739,1.963,0.05,0.0672,1.3434,0.0392,0.0703,1.794
LOC107390540,XM_015967334.1,XP_015822820.1,0.03302,0.0603,2.02428,0.0271,0.0445,1.6415,0.0532,0.0534,1.0028,0.0243,0.0642,2.6387,0.0356,0.063,1.7678,0.0249,0.0764,3.0706
LOC107390541,XM_015967335.1,XP_015822821.1,0.05764,0.07456,1.33294,0.073,0.0747,1.0228,0.0596,0.0565,0.948,0.0431,0.0761,1.7651,0.0551,0.0632,1.1471,0.0574,0.1023,1.7817
LOC107390558,XM_015967357.1,XP_015822843.1,0.02054,0.04552,2.44572,0.0287,0.0422,1.4715,0.0175,0.0431,2.4721,0.0268,0.0523,1.9498,0.0178,0.0441,2.4844,0.0119,0.0459,3.8508
LOC107390560,XM_015967361.1,XP_015822847.1,0.1275,0.13456,1.08666,0.1302,0.0937,0.7193,0.1573,0.1187,0.7546,0.0879,0.1339,1.5231,0.1076,0.1143,1.0623,0.1545,0.2122,1.374
LOC107390564,XM_015967365.1,XP_015822851.1,0.00828,0.01968,2.4281,0.0063,0.0106,1.6917,0.0112,0.0164,1.4621,0.0049,0.0156,3.1912,0.0082,0.0216,2.6344,0.0108,0.0342,3.1611
LOC107390586,XM_015967396.1,XP_015822882.1,0.33088,0.3682,1.12784,0.244,0.2858,1.1715,0.3739,0.3132,0.8376,0.3135,0.3764,1.2004,0.3878,0.3773,0.9729,0.3352,0.4883,1.4568
LOC107390588,XM_015967400.1,XP_015822886.1,0.05444,0.09258,1.69042,0.059,0.0677,1.1472,0.0434,0.0742,1.7094,0.0507,0.0774,1.5273,0.038,0.076,2.0004,0.0811,0.1676,2.0678
LOC107390589,XM_015967403.1,XP_015822889.1,0.15384,0.21064,1.3353,0.1126,0.1159,1.0292,0.1793,0.167,0.9314,0.1329,0.1788,1.3448,0.163,0.1777,1.0899,0.1814,0.4138,2.2812
LOC107390640,XM_015967462.1,XP_015822948.1,0.09988,0.1589,1.62142,0.063,0.1093,1.7344,0.1148,0.1581,1.3763,0.1043,0.1509,1.4464,0.1177,0.1478,1.2563,0.0996,0.2284,2.2937
LOC107390653,XM_015967478.1,XP_015822964.1,0.10194,0.1494,1.5398,0.1569,0.1919,1.2234,0.0822,0.1085,1.3195,0.0626,0.1347,2.1524,0.0725,0.1096,1.5109,0.1355,0.2023,1.4928
LOC107390656,XM_015967486.1,XP_015822972.1,0.07098,0.0836,1.42416,0.0712,0.0712,0.9996,0.0892,0.0791,0.8866,0.08,0.0781,0.9758,0.0815,0.0826,1.0136,0.033,0.107,3.2452
LOC107390662,XM_015967493.1,XP_015822979.1,0.05492,0.06076,0.99508,0.0555,0.0375,0.6754,0.0341,0.0275,0.8053,0.0382,0.0383,1.0013,0.0413,0.0403,0.9745,0.1055,0.1602,1.5189
LOC107390677,XM_015967509.1,XP_015822995.1,0.03272,0.03732,1.05,0.0239,0.0204,0.853,0.0309,0.0238,0.7721,0.027,0.0264,0.9771,0.0235,0.0259,1.1035,0.0583,0.0901,1.5443
LOC107390687,XM_015967523.1,XP_015823009.1,0.12138,0.1821,1.75986,0.1451,0.1799,1.2391,0.0503,0.0923,1.8343,0.0472,0.1458,3.0893,0.1215,0.1479,1.2173,0.2428,0.3446,1.4193
LOC107390688,XM_015967526.1,XP_015823012.1,0.0853,0.10834,1.25718,0.0682,0.0732,1.0731,0.0802,0.0746,0.9301,0.092,0.1254,1.3627,0.1001,0.1235,1.234,0.086,0.145,1.686
LOC107390706,XM_015967567.1,XP_015823053.1,0.07998,0.09868,1.231,0.0771,0.0651,0.8442,0.0481,0.0623,1.296,0.0674,0.102,1.513,0.0869,0.0965,1.1104,0.1204,0.1675,1.3914
LOC107390707,XM_015967568.1,XP_015823054.1,0.08958,0.1209,1.55064,0.1096,0.1083,0.9886,0.1181,0.0988,0.8362,0.0952,0.1234,1.2953,0.0398,0.1058,2.6579,0.0852,0.1682,1.9752
LOC107390715,XM_015967580.1,XP_015823066.1,0.1308,0.11384,0.9071,0.1259,0.1027,0.8159,0.1533,0.0985,0.6423,0.1314,0.1163,0.8853,0.148,0.1198,0.8093,0.0954,0.1319,1.3827
LOC107390720,XM_015967589.1,XP_015823075.1,0.05848,0.07284,1.23944,0.0596,0.0508,0.8518,0.0523,0.0633,1.2098,0.0493,0.0728,1.4762,0.0561,0.0663,1.1814,0.0751,0.111,1.478
LOC107390721,XM_015967590.1,XP_015823076.1,0.07146,0.08312,1.20482,0.0626,0.0534,0.8533,0.0782,0.0586,0.7495,0.037,0.0561,1.515,0.0378,0.0599,1.5829,0.1417,0.1876,1.3234
LOC107390723,XM_015967592.1,XP_015823078.1,0.04584,0.04484,0.93926,0.0415,0.0315,0.7596,0.0461,0.0272,0.5901,0.0362,0.0332,0.9173,0.047,0.0389,0.8284,0.0584,0.0934,1.6009
LOC107390728,XM_015967601.1,XP_015823087.1,0.03038,0.04482,1.5345,0.042,0.0352,0.8365,0.0396,0.0374,0.9429,0.0159,0.024,1.5125,0.0223,0.0305,1.3628,0.0321,0.097,3.0178
LOC107390735,XM_015967616.1,XP_015823102.1,0.0783,0.08562,1.1265,0.107,0.0785,0.7341,0.0816,0.0585,0.7172,0.0497,0.0624,1.2553,0.0484,0.0668,1.3807,0.1048,0.1619,1.5452
LOC107390736,XM_015967619.1,XP_015823105.1,0.26722,0.24992,0.97152,0.3109,0.2214,0.7122,0.2689,0.198,0.7364,0.2761,0.2502,0.9062,0.2691,0.2395,0.89,0.2111,0.3405,1.6128
LOC107390775,XM_015967698.1,XP_015823184.1,0.06012,0.04984,0.85006,0.0451,0.0289,0.641,0.0847,0.0422,0.4975,0.035,0.0409,1.1675,0.0545,0.0427,0.7826,0.0813,0.0945,1.1617
LOC107390782,XM_015967705.1,XP_015823191.1,0.13386,0.12932,1.00986,0.1563,0.1186,0.7593,0.1052,0.0962,0.9143,0.1028,0.1111,1.0805,0.19,0.1438,0.7571,0.115,0.1769,1.5381
LOC107390783,XM_015967707.1,XP_015823193.1,0.22428,0.24346,1.1484,0.3011,0.21,0.6973,0.2456,0.1972,0.8031,0.1544,0.2373,1.5363,0.1812,0.2317,1.2789,0.2391,0.3411,1.4264
LOC107390787,XM_015967716.1,XP_015823202.1,0.0276,0.04412,1.67242,0.0249,0.0292,1.1734,0.0263,0.0294,1.1188,0.0307,0.0502,1.6374,0.0366,0.0545,1.4882,0.0195,0.0573,2.9443
LOC107390790,XM_015967715.1,XP_015823201.1,0.03264,0.03544,1.11894,0.0191,0.0199,1.0424,0.0401,0.0439,1.0951,0.0416,0.0366,0.8805,0.037,0.036,0.9736,0.0254,0.0408,1.6031
LOC107390791,XM_015967717.1,XP_015823203.1,0.0523,0.06642,1.3641,0.0541,0.048,0.8864,0.0707,0.0617,0.8732,0.0329,0.0716,2.1792,0.0473,0.0614,1.2994,0.0565,0.0894,1.5823
LOC107390792,XM_015967718.1,XP_015823204.1,0.11728,0.09422,0.80656,0.1243,0.0732,0.5891,0.0933,0.0642,0.6883,0.1447,0.0952,0.6576,0.1072,0.0744,0.6938,0.1169,0.1641,1.404
LOC107390794,XM_015967721.1,XP_015823207.1,0.18856,0.21866,1.175,0.1915,0.172,0.8981,0.2092,0.2168,1.0361,0.1592,0.2182,1.3704,0.1549,0.2111,1.3635,0.228,0.2752,1.2069
LOC107390814,XM_015967752.1,XP_015823238.1,0.0625,0.07042,1.23116,0.0953,0.0678,0.7115,0.0649,0.0785,1.211,0.0605,0.0603,0.9963,0.0494,0.0582,1.1772,0.0424,0.0873,2.0598
LOC107390822,XM_015967765.1,XP_015823251.1,0.06412,0.09422,1.3696,0.0729,0.0602,0.8259,0.0475,0.0613,1.2919,0.0476,0.0636,1.334,0.0448,0.057,1.2727,0.1078,0.229,2.1235
LOC107390823,XM_015967766.1,XP_015823252.1,0.11306,0.13622,1.21922,0.1462,0.1224,0.8371,0.0881,0.1039,1.1788,0.0803,0.1151,1.4326,0.113,0.1132,1.0023,0.1377,0.2265,1.6453
LOC107390839,XM_015967803.1,XP_015823289.1,0.13392,0.12728,0.94056,0.1136,0.1005,0.8839,0.123,0.1004,0.8164,0.1416,0.1226,0.8657,0.1413,0.1262,0.8931,0.1501,0.1867,1.2437
LOC107390841,XM_015967805.1,XP_015823291.1,0.04164,0.04028,1.01652,0.0534,0.0329,0.615,0.046,0.0399,0.8674,0.0375,0.036,0.9595,0.0375,0.0343,0.9166,0.0338,0.0583,1.7241
LOC107390846,XM_015967813.1,XP_015823299.1,0.05064,0.0413,0.9577,0.0562,0.0419,0.7459,0.0585,0.0355,0.6074,0.0631,0.0395,0.6259,0.0505,0.0387,0.7657,0.0249,0.0509,2.0436
LOC107390848,XM_015967816.1,XP_015823302.1,0.07118,0.11486,1.81172,0.0814,0.0808,0.9925,0.0771,0.1095,1.4208,0.0808,0.1144,1.4157,0.0753,0.1188,1.5779,0.0413,0.1508,3.6517
LOC107390850,XM_015967817.1,XP_015823303.1,0.12242,0.10844,0.94422,0.0761,0.0728,0.9566,0.0941,0.0855,0.9088,0.1568,0.1222,0.7792,0.1879,0.124,0.6601,0.0972,0.1377,1.4164
LOC107390870,XM_015967857.1,XP_015823343.1,0.04182,0.03204,1.08508,0,0,0.6152,0.031,0.022,0.709,0.0746,0.0535,0.7173,0.0899,0.0456,0.5067,0.0136,0.0391,2.8772
LOC107390874,XM_015967867.1,XP_015823353.1,0.04286,0.05668,1.24912,0.1057,0.1461,1.3823,0.0203,0.0177,0.8743,0.0241,0.0223,0.9244,0.017,0.0267,1.5679,0.0472,0.0706,1.4967
LOC107390875,XM_015967864.1,XP_015823350.1,0.05284,0.07328,1.46746,0.0825,0.0651,0.7886,0.0465,0.061,1.3105,0.0415,0.0532,1.2828,0.0455,0.0578,1.2702,0.0482,0.1293,2.6852
LOC107390878,XM_015967871.1,XP_015823357.1,0.10128,0.08814,0.87326,0.1299,0.0863,0.6645,0.0887,0.0727,0.8192,0.0866,0.0795,0.9179,0.0869,0.0707,0.8139,0.1143,0.1315,1.1508
LOC107390879,XM_015967875.1,XP_015823361.1,0.0417,0.05204,1.18922,0.033,0.0248,0.7525,0.0382,0.0365,0.954,0.0417,0.0464,1.1148,0.0441,0.05,1.135,0.0515,0.1025,1.9898
LOC107390883,XM_015967878.1,XP_015823364.1,0.06236,0.07976,1.36548,0.0855,0.0632,0.7397,0.0571,0.0613,1.0725,0.0639,0.0912,1.4272,0.0611,0.089,1.4568,0.0442,0.0941,2.1312
LOC107390894,XM_015967895.1,XP_015823381.1,0.08668,0.1082,1.25636,0.1005,0.0824,0.8192,0.0797,0.073,0.9168,0.0712,0.0901,1.2659,0.0931,0.0884,0.9487,0.0889,0.2071,2.3312
LOC107390895,XM_015967897.1,XP_015823383.1,0.08634,0.0912,1.0369,0.0968,0.0754,0.7793,0.0713,0.0645,0.9051,0.0805,0.079,0.9809,0.0824,0.0746,0.906,0.1007,0.1625,1.6132
LOC107390901,XM_015967904.1,XP_015823390.1,0.06242,0.05582,0.91934,0.06,0.0397,0.6615,0.0727,0.05,0.6886,0.0596,0.0469,0.7868,0.0647,0.0474,0.7336,0.0551,0.0951,1.7262
LOC107390902,XM_015967905.1,XP_015823391.1,0.14042,0.11944,0.88592,0.1435,0.0965,0.6724,0.1516,0.0853,0.5626,0.1371,0.1188,0.8662,0.1621,0.136,0.8389,0.1078,0.1606,1.4895
LOC107390905,XM_015967909.1,XP_015823395.1,0.0699,0.0756,1.0802,0.0616,0.0487,0.7915,0.0858,0.0693,0.8071,0.0582,0.0708,1.216,0.0541,0.0651,1.2047,0.0898,0.1241,1.3817
LOC107390908,XM_015967913.1,XP_015823399.1,0.1203,0.14918,1.40256,0.1684,0.1356,0.8051,0.1195,0.1127,0.9429,0.0752,0.1359,1.8066,0.0597,0.1287,2.1549,0.1787,0.233,1.3033
LOC107390911,XM_015967917.1,XP_015823403.1,0.12872,0.10836,0.88734,0.1483,0.0695,0.4686,0.1465,0.0799,0.5453,0.1463,0.0873,0.5966,0.0896,0.0534,0.5964,0.1129,0.2517,2.2298
LOC107390914,XM_015967920.1,XP_015823406.1,0.10632,0.04194,0.41624,0.1224,0.0336,0.2748,0.0897,0.0244,0.2722,0.1298,0.0497,0.3827,0.115,0.0457,0.3976,0.0747,0.0563,0.7539
LOC107390917,XM_015967926.1,XP_015823412.1,0.05972,0.07798,1.48632,0.0731,0.0861,1.1787,0.0928,0.0806,0.8685,0.0364,0.056,1.5392,0.0281,0.0667,2.3722,0.0682,0.1005,1.473
LOC107390927,XM_015967934.1,XP_015823420.1,0.06512,0.0731,1.07606,0.0457,0.0447,0.9781,0.0703,0.0566,0.8061,0.0604,0.0552,0.9139,0.0472,0.0555,1.1772,0.102,0.1535,1.505
LOC107390928,XM_015967936.1,XP_015823422.1,0.13912,0.14824,1.07,0.1319,0.1086,0.8235,0.1579,0.1305,0.826,0.1266,0.1394,1.1008,0.1399,0.1389,0.9928,0.1393,0.2238,1.6069
LOC107390943,XM_015967959.1,XP_015823445.1,0.11976,0.13186,1.10282,0.1097,0.1092,0.9958,0.1381,0.1351,0.9785,0.109,0.1075,0.9861,0.123,0.1093,0.8887,0.119,0.1982,1.665
LOC107390946,XM_015967965.1,XP_015823451.1,0.03,0.04974,1.71626,0.0242,0.0321,1.3279,0.0254,0.0339,1.3341,0.0309,0.0365,1.1832,0.0142,0.04,2.8134,0.0553,0.1062,1.9227
LOC107390956,XM_015967977.1,XP_015823463.1,0.05262,0.06176,1.1502,0.0378,0.0416,1.1009,0.0543,0.0321,0.5921,0.0548,0.0644,1.1761,0.039,0.053,1.3567,0.0772,0.1177,1.5252
LOC107390964,XM_015967986.1,XP_015823472.1,0.08476,0.08664,1.05692,0.1367,0.1094,0.8001,0.1132,0.0778,0.6877,0.0377,0.0301,0.7985,0.0535,0.0584,1.0929,0.0827,0.1575,1.9054
LOC107390966,XM_015967989.1,XP_015823475.1,0.06774,0.08,1.15986,0.081,0.0605,0.7467,0.0507,0.0498,0.9812,0.0615,0.0765,1.2455,0.0646,0.0612,0.9474,0.0809,0.152,1.8785
LOC107391011,XM_015968033.1,XP_015823519.1,0.14786,0.15842,1.08042,0.1806,0.149,0.8252,0.1073,0.1209,1.127,0.1424,0.1423,0.9993,0.1522,0.144,0.9464,0.1568,0.2359,1.5042
LOC107391061,XM_015968109.1,XP_015823595.1,0.04254,0.04134,0.90106,0.0244,0.0143,0.5873,0.0395,0.0325,0.8223,0.0469,0.0377,0.8027,0.0444,0.0323,0.7285,0.0575,0.0899,1.5645
LOC107391063,XM_015968111.1,XP_015823597.1,0.09696,0.15672,1.67474,0.1252,0.1368,1.0924,0.0797,0.1133,1.4214,0.0832,0.1448,1.7405,0.1095,0.1451,1.3248,0.0872,0.2436,2.7946
LOC107391065,XM_015968112.1,XP_015823598.1,0.06572,0.0827,1.22766,0.0726,0.0508,0.7,0.0446,0.0642,1.4386,0.0542,0.0637,1.1758,0.0635,0.0626,0.9865,0.0937,0.1722,1.8374
LOC107391073,XM_015968122.1,XP_015823608.1,0.14432,0.21922,1.54116,0.0938,0.17,1.8128,0.1227,0.1616,1.317,0.188,0.1979,1.0526,0.1508,0.1878,1.2454,0.1663,0.3788,2.278
LOC107391077,XM_015968129.1,XP_015823615.1,0.03972,0.06368,1.8959,0.0506,0.0437,0.865,0.038,0.0521,1.3701,0.0149,0.057,3.8188,0.0358,0.0573,1.5996,0.0593,0.1083,1.826
LOC107391078,XM_015968130.1,XP_015823616.1,0.0308,0.0463,1.43268,0.0265,0.0272,1.0255,0.0208,0.0315,1.5158,0.0202,0.0298,1.4739,0.0221,0.0312,1.4126,0.0644,0.1118,1.7356
LOC107391083,XM_015968134.1,XP_015823620.1,0.02294,0.0426,2.14324,0.0308,0.033,1.0701,0.0094,0.0293,3.109,0.0198,0.0306,1.5443,0.0107,0.0318,2.9867,0.044,0.0883,2.0061
LOC107391085,XM_015968141.1,XP_015823627.1,0.06306,0.0858,1.42054,0.0819,0.0859,1.0493,0.0478,0.0789,1.6514,0.0514,0.0724,1.4082,0.0768,0.0788,1.0264,0.0574,0.113,1.9674
LOC107391086,XM_015968147.1,XP_015823633.1,0.01422,0.02164,1.18054,0.004,0.0043,1.0743,0.0055,0.0051,0.9348,0.008,0.0069,0.8593,0.0084,0.0103,1.2284,0.0452,0.0816,1.8059
LOC107391089,XM_015968148.1,XP_015823634.1,0.01266,0.01402,1.04906,0.0076,0.0056,0.7372,0.0079,0.0079,1.0038,0.0085,0.0106,1.2572,0.0148,0.0137,0.9291,0.0245,0.0323,1.318
LOC107391091,XM_015968151.1,XP_015823637.1,0.05546,0.06478,1.1965,0.0687,0.0485,0.7061,0.0395,0.0468,1.185,0.0441,0.0621,1.4066,0.047,0.0648,1.3799,0.078,0.1017,1.3049
LOC107391094,XM_015968156.1,XP_015823642.1,0.07432,0.10822,1.55438,0.0996,0.0985,0.9889,0.0674,0.0809,1.2001,0.0595,0.1047,1.758,0.0874,0.1067,1.2215,0.0577,0.1503,2.6034
