N. furzeri symbol,N. furzeri Gene Id,N. furzeri Protein Id,Human,Mouse,Chicken,Rat,Spotted Gar,Zebrafish,Medaka,Stickleback,Tetarodon,Fugu,Worm,Fly,N. furzeri Final Symbol
elovl7,XM_015972835.1,XP_015828321.1,ELOVL7,Elovl7,ELOVL7,Elovl1,elovl7a,elovl7a,elovl7a,elovl7a,Elovl1,elovl7a,elo-2,CG31522,elovl7 (1 of 2)
LOC107380622,XM_015951922.1,XP_015807408.1,ELOVL7,Elovl7,ELOVL7,Elovl7,elovl8a,elovl8b,,elovl8b_1_many,Elovl7,elovl8b,elo-4,CG31523,elovl7 (2 of 2)
LOC107387394,XM_015962341.1,XP_015817827.1,HS2ST1,Hs2st1,HS2ST1,Hs2st1,hs2st1b,hs2st1b,,hs2st1b,Hs2st1,hs2st1b,hst-2,Hs2st,hs2st1 (1 of 2)
LOC107373827,XM_015941972.1,XP_015797458.1,HS2ST1,Hs2st1,HS2ST1,Hs2st1,hs2st1b,hs2st1b,,hs2st1a,Hs2st1,hs2st1a_1_many,hst-2,Hs2st,hs2st1 (2 of 2)
rpl27a,XM_015963934.1,XP_015819420.1,RPL27A,Rpl27a,RPL27A,Rpl27a,RPL27A,,,RPL27A,Rpl27a,RPL27A,Y37E3.8,RpL27A,rpl27a
LOC107379008,XM_015949553.1,XP_015805039.1,CREB3L4,Creb3l4,CREB3L3,Creb3l4,CREB3L4,CREB3L3_1_many,,creb3l3l,Creb3l4,CREB3L4,let-607,CrebA,creb3l4
LOC107388920,XM_015964723.1,XP_015820209.1,TMEM60,Tmem60,TMEM60,Tmem60,,,TMEM60,TMEM60_1_many,Tmem60,TMEM60_1_many,,CG13919,tmem60 (1 of 2)
LOC107384987,XM_015958540.1,XP_015814026.1,TMEM60,Tmem60,TMEM60,Tmem60,,,,TMEM60_1_many,Tmem60,TMEM60_1_many,,CG13919,tmem60 (2 of 2)
ncbp1,XM_015951737.1,XP_015807223.1,NCBP1,Ncbp1,NCBP1,Ncbp1,NCBP1,,NCBP1,NCBP1,Ncbp1,NCBP1,ncbp-1,Cbp80,ncbp1
LOC107378439,XM_015948645.1,XP_015804131.1,BCAT1,Bcat1,BCAT1,Bcat1,bcat1,bcat2,,bcat2,Bcat1,bcat2,bcat-1,CG1673,bcat1
LOC107390385,XM_015967054.1,XP_015822540.1,DGKA,Dgkb,DGKB,Dgkb,dgkaa,dgkaa,,dgkaa,Dgkb,dgkaa,dgk-3,Dgk,dgka (1 of 2)
dgka,XM_015959611.1,XP_015815097.1,DGKA,Dgkb,DGKB,Dgkb,dgkaa,dgkaa,,dgkab,Dgkb,dgkab,dgk-3,Dgk,dgka (2 of 2)
mef2d,XM_015949943.1,XP_015805429.1,MEF2D,Mef2d,MEF2D,Mef2d,mef2d,mef2d,mef2d,MEF2D,Mef2d,mef2d,mef-2,Mef2,mef2d (1 of 3)
LOC107373677,XM_015941817.1,XP_015797303.1,MEF2D,Mef2c,MEF2D,Mef2a,mef2d,mef2ab,mef2d,mef2aa,Mef2a,mef2aa,mef-2,Mef2,mef2d (2 of 3)
LOC107394632,XM_015973635.1,XP_015829121.1,MEF2D,Mef2d,MEF2D,Mef2d,mef2d,mef2d,,MEF2D,Mef2d,MEF2D_1_many,mef-2,Mef2,mef2d (3 of 3)
LOC107374775,XM_015943030.1,XP_015798516.1,,Hmmr,NES,,ENSLOCG00000000773,TUBGCP6,,ENSGACG00000017862,,,hcp-1,Evi5,LOC107374775
znhit1,XM_015955570.1,XP_015811056.1,ZNHIT1,Znhit1,,Znhit1,znhit1,znhit1,,,Znhit1,znhit1,zhit-1,CG31917,znhit1
caskin2,XM_015976292.1,XP_015831778.1,CASKIN2,Caskin2,CASKIN2,Caskin2,si:ch211-119c20.2,CASKIN2_1_many,CASKIN2,CASKIN2_1_many,Caskin2,CASKIN2,C46H3.3,CG4393,caskin2 (1 of 2)
LOC107376744,XM_015946001.1,XP_015801487.1,CASKIN2,Caskin2,CASKIN2,Caskin2,si:ch211-119c20.2,CASKIN2_1_many,,CASKIN2_1_many,Caskin2,si:dkeyp-9d4.3,C46H3.3,CG4393,caskin2 (2 of 2)
LOC107390194,XM_015966766.1,XP_015822252.1,MNX1,Mnx1,MNX1,Mnx1,mnx2b,mnx2b,ENSORLG00000003773,ENSGACG00000015160,Mnx1,ENSTRUG00000004181,ceh-12,exex,mnx1
LOC107385211,XM_015958948.1,XP_015814434.1,ARHGEF5,Arhgef19,ARHGEF5,Arhgef19,arhgef19,si:ch73-15b2.5,arhgef5,arhgef19,Arhgef19,arhgef19,ephx-1,Exn,arhgef5 (1 of 2)
LOC107379425,XM_015950159.1,XP_015805645.1,ARHGEF5,Arhgef5,ARHGEF5,Arhgef5,arhgef5,arhgef5,arhgef5,arhgef5,Arhgef5,arhgef5,ephx-1,Exn,arhgef5 (2 of 2)
LOC107386167,XM_015960388.1,XP_015815874.1,DOK2,Dok2,DOK2,Dok2,dok2,dok2,,dok2,Dok2,dok1b,rog-1,Dok,dok2
LOC107379940,XM_015950907.1,XP_015806393.1,SPINT2,Tfpi,TFPI,Spint2,spint2,spint2,,spint2,Spint2,spint2,mig-6,Ppn,spint2
rps3,XM_015950793.1,XP_015806279.1,RPS3,Rps3,RPS3,Rps3,rps3,rps3,rps3,rps3,Rps3,rps3,rps-3,RpS3,rps3
rpp30,XM_015962516.1,XP_015818002.1,RPP30,Rpp30,RPP30,Rpp30,rpp30,rpp30,,rpp30,Rpp30,rpp30,H35B03.2,Rpp30,rpp30
LOC107388628,XM_015964231.1,XP_015819717.1,AQP9,Aqp9,AQP9,Aqp9,aqp9b,aqp9b,aqp9b,AQP9_1_many,Aqp9,AQP9_1_many,aqp-2,Drip,aqp9 (1 of 3)
LOC107385485,XM_015959399.1,XP_015814885.1,AQP9,Aqp7,ENSGALG00000018534,Aqp7,aqp10b,aqp7,,aqp7,Aqp7,aqp7,aqp-3,CG17662,aqp9 (2 of 3)
aqp9,XM_015953000.1,XP_015808486.1,AQP9,Aqp3,AQP9,Aqp9,aqp9b,aqp9b,,aqp9b,Aqp9,aqp9b,aqp-2,CG17662,aqp9 (3 of 3)
LOC107376901,XM_015946222.1,XP_015801708.1,ZNF638,Zfp638,ZNF638,Zfp638,ENSLOCG00000001115,ZNF638,ENSORLG00000003380,ENSGACG00000018819,Zfp638,matr3l1.1,,,znf638 (1 of 7)
LOC107376898,XM_015946215.1,XP_015801701.1,ZNF638,Zfp638,ZNF638,Zfp638,ENSLOCG00000001115,ZNF638,ENSORLG00000003384,ENSGACG00000018819,Zfp638,matr3l1.1,,,znf638 (2 of 7)
LOC107382355,XM_015954472.1,XP_015809958.1,ZNF638,Zfp638,ZNF638,Zfp638,ENSLOCG00000001115,ZNF638,si:ch211-212k18.4_1_many,si:ch211-212k18.4,Zfp638,matr3l1.1,,,znf638 (3 of 7)
LOC107376903,XM_015946225.1,XP_015801711.1,ZNF638,Zfp638,ZNF638,Zfp638,ENSLOCG00000001115,ZNF638,ENSORLG00000003384,ENSGACG00000018819,Zfp638,matr3l1.1,,,znf638 (4 of 7)
LOC107376896,XM_015946213.1,XP_015801699.1,ZNF638,Zfp638,ZNF638,Zfp638,ENSLOCG00000001115,ZNF638,,ENSGACG00000018819,Zfp638,matr3l1.1,,,znf638 (5 of 7)
LOC107376900,XM_015946219.1,XP_015801705.1,ZNF638,Zfp638,ZNF638,Zfp638,ENSLOCG00000001115,ZNF638,,,Zfp638,,,,znf638 (6 of 7)
LOC107376905,XM_015946226.1,XP_015801712.1,ZNF638,Zfp638,ZNF638,Zfp638,ENSLOCG00000001115,ZNF638,,si:ch211-212k18.4,Zfp638,matr3l1.1,,,znf638 (7 of 7)
enpp5,XM_015948186.1,XP_015803672.1,ENPP5,Enpp5,ENPP4,Enpp5,enpp5,enpp5,enpp5,enpp5,Enpp5,enpp5,C27A7.1,,enpp5
c9,XM_015943192.1,XP_015798678.1,C9,C9,C8A,C9,c9,c9,c9,c9,C9,c9,C27A7.9,LRP1,c9
LOC107379755,XM_015950663.1,XP_015806149.1,TEX10,Tex10,TEX10,Tex10,tex10,tex10,tex10,tex10,Tex10,tex10,,,tex10 (1 of 2)
LOC107379725,XM_015950618.1,XP_015806104.1,TEX10,Tex10,TEX10,Tex10,tex10,tex10,tex10,tex10,Tex10,tex10,Y48A6C.4,CG1575,tex10 (2 of 2)
LOC107393679,XM_015972222.1,XP_015827708.1,DUSP26,Dusp26,DUSP26,Dusp26,DUSP26,DUSP26,DUSP26,DUSP26_1_many,Dusp26,DUSP26_1_many,Y54F10BM.13,CG7378,dusp26 (1 of 5)
dusp13,XM_015962571.1,XP_015818057.1,DUSP26,Dusp26,ENSGALG00000005007,Dusp13,si:ch211-223p8.8,si:ch211-223p8.8,,ENSGACG00000002195,Dusp13,ENSTRUG00000013616,Y54F10BM.13,CG7378,dusp26 (2 of 5)
LOC107395981,XM_015975483.1,XP_015830969.1,DUSP26,Dusp26,DUSP26,Dusp26,DUSP26,DUSP26,,DUSP26_1_many,Dusp26,DUSP26_1_many,Y54F10BM.13,CG7378,dusp26 (3 of 5)
LOC107387559,XM_015962581.1,XP_015818067.1,DUSP26,Dusp26,ENSGALG00000005007,Dusp13,si:ch211-223p8.8,zgc:153981,,zgc:153981,Dusp13,zgc:153981,lip-1,CG7378,dusp26 (4 of 5)
LOC107375605,XM_015944201.1,XP_015799687.1,DUSP26,Dusp26,ENSGALG00000005007,Dusp13,si:ch211-223p8.8,zgc:153981,,zgc:153981,Dusp13,zgc:153981,lip-1,CG7378,dusp26 (5 of 5)
tpgs2,XM_015959401.1,XP_015814887.1,TPGS2,Tpgs2,TPGS2,Tpgs2,tpgs2,tpgs2,,tpgs2,Tpgs2,,,CG6931,tpgs2
LOC107393857,XM_015972474.1,XP_015827960.1,,,,,,,,,,,,,LOC107393857
svep1,XM_015946779.1,XP_015802265.1,SVEP1,Svep1,SVEP1,Svep1,SVEP1,SVEP1,SVEP1,SVEP1,Svep1,SVEP1,clec-78,fw,svep1 (1 of 2)
LOC107375585,XM_015944172.1,XP_015799658.1,SVEP1,Notch2,SVEP1,Svep1,ENSLOCG00000017043,si:ch211-69e5.1,,ENSGACG00000006039,Svep1,ENSTRUG00000015818,clec-78,N,svep1 (2 of 2)
LOC107373573,XM_015941700.1,XP_015797186.1,DUSP6,Dusp6,MKP3,Dusp6,dusp6,dusp6,,dusp7_1_many,Dusp6,dusp6,lip-1,Mkp3,dusp6
LOC107388237,XM_015963677.1,XP_015819163.1,TNRC6B,Tnrc6b,TNRC6B,Tnrc6b,si:dkey-217f16.6,tnrc6b,TNRC6B_1_many,TNRC6B_1_many,Tnrc6b,TNRC6B_1_many,,gw,tnrc6b (1 of 2)
LOC107376151,XM_015945101.1,XP_015800587.1,TNRC6B,Tnrc6b,TNRC6B,Tnrc6b,si:dkey-217f16.6,tnrc6b,si:dkey-217f16.6,si:dkey-217f16.6,Tnrc6b,si:dkey-217f16.6,,gw,tnrc6b (2 of 2)
LOC107386158,XM_015960372.1,XP_015815858.1,SLC18A1,Slc18a1,SLC18A2,Slc18a1,SLC18A1,SLC18A1,,slc18a2,Slc18a1,SLC18A1,cat-1,Vmat,slc18a1
ifi35,XM_015975890.1,XP_015831376.1,IFI35,Ifi35,IFI35,Ifi35,ifi35,ifi35,NMI,ifi35,Ifi35,ifi35,,,ifi35
LOC107384692,XM_015958066.1,XP_015813552.1,PWP2,Pwp2,ENSGALG00000022802,Pwp2,pwp2h,pwp2h,pwp2h,pwp2h,Pwp2,pwp2h,F55F8.3,CG12325,pwp2
LOC107394163,XM_015972957.1,XP_015828443.1,LHFPL2,Lhfpl2,LHFPL2,Lhfpl2,lhfpl2b,lhfpl2b,ENSORLG00000003278,lhfpl2b,Lhfpl2,ENSTRUG00000013502,F26D10.11,CG3770,lhfpl2 (1 of 2)
lhfpl2,XM_015943126.1,XP_015798612.1,LHFPL2,Lhfpl2,LHFPL2,Lhfpl2,lhfpl2b,lhfpl2a,,lhfpl2b,Lhfpl2,lhfpl2a,F26D10.11,CG3770,lhfpl2 (2 of 2)
pign,XM_015955382.1,XP_015810868.1,PIGN,Pign,PIGN,Pign,pign,pign,pign,pign,Pign,pign,Y54E10BR.1,CG2292,pign
LOC107373761,XM_015941915.1,XP_015797401.1,HOXD11,Hoxc11,Hoxa11,Hoxc11,hoxa11a,hoxa11b,HOXA11_1_many,HOXA11_1_many,Hoxc11,HOXA11_1_many,php-3,Abd-B,hoxd11 (1 of 3)
hoxa11,XM_015955936.1,XP_015811422.1,HOXD11,Hoxa11,Hoxa11,Hoxa11,hoxa11a,hoxa11b,,hoxa11a,Hoxa11,hoxa11a,php-3,Abd-B,hoxd11 (2 of 3)
hoxd11,XM_015966461.1,XP_015821947.1,HOXD11,Hoxa11,HOXD11,Hoxc11,hoxd11a,hoxd11a,,hoxd11a,Hoxc11,hoxd10a,php-3,Abd-B,hoxd11 (3 of 3)
slc35f6,XM_015947466.1,XP_015802952.1,SLC35F6,Slc35f6,SLC35F6,Slc35f6,slc35f6,slc35f6,,slc35f6,Slc35f6,slc35f6_1_many,C29H12.2,Tango9,slc35f6
naaladl1,XM_015973221.1,XP_015828707.1,NAALADL1,Naaladl1,NAALAD2,Naaladl1,si:ch211-214j8.1_1_many,NAALADL1,si:ch211-214j8.1,si:ch211-214j8.1,Naaladl1,si:ch211-214j8.1,gcp-2.1,,naaladl1
tbc1d32,XM_015947566.1,XP_015803052.1,TBC1D32,Tbc1d32,TBC1D32,Tbc1d32,tbc1d32,tbc1d32,tbc1d32,tbc1d32,Tbc1d32,tbc1d32_1_many,,,tbc1d32
nrm,XM_015973510.1,XP_015828996.1,NRM,Nrm,,Nrm,,nrm,nrm,nrm,Nrm,nrm,,CG7655,nrm
LOC107385243,XM_015959004.1,XP_015814490.1,PLCH2,Plch2,PLCH2,Plch2,plch2a,plch1,plch2b,plch2a,Plch2,plch2b,pll-1,sl,plch2 (1 of 3)
plch2,XM_015968692.1,XP_015824178.1,PLCH2,Plch2,PLCH2,Plch2,plch2a,plch2a,plch2a,plch2a,Plch2,plch1,pll-1,sl,plch2 (2 of 3)
LOC107391394,XM_015968700.1,XP_015824186.1,PLCH2,Plch2,PLCH2,Plch2,plch2a,plch2a,,plch2b,Plch2,plch2a,plc-4,,plch2 (3 of 3)
st3gal4,XM_015952022.1,XP_015807508.1,ST3GAL4,St3gal4,ST3GAL4,St3gal4,st3gal4,st3gal4,st3gal4_1_many,st3gal4,St3gal4,st3gal4,,ST6Gal,st3gal4
LOC107383735,XM_015956529.1,XP_015812015.1,RASAL2,Rasal2,RASAL2,Rasal2,rasal2,rasal2,rasal2,,Rasal2,si:dkeyp-72a4.1,,,rasal2 (1 of 2)
rasal2,XM_015941842.1,XP_015797328.1,RASAL2,Rasal2,RASAL2,Rasal2,rasal2,rasal2,rasal2,dab2ipb,Rasal2,dab2ipb,gap-2,CG42684,rasal2 (2 of 2)
ribc1,XM_015967447.1,XP_015822933.1,RIBC1,Ribc1,RIBC2,Ribc1,ribc2,ribc1,ribc1,ribc1,Ribc1,ribc1,,CG7264,ribc1
nit1,XM_015946425.1,XP_015801911.1,NIT1,Nit1,NIT1,Nit1,nit1,nit1,nit1,nit1,Nit1,nit1,nft-1,NitFhit,nit1
sbno1,XM_015943521.1,XP_015799007.1,SBNO1,Sbno1,SBNO1,Sbno1,sbno1,sbno1,,sbno1,Sbno1,sbno1,let-765,sno,sbno1
LOC107378473,XM_015948704.1,XP_015804190.1,WNT9B,Wnt9b,WNT9b,Wnt9b,wnt9b_1_many,wnt9b,wnt9b,wnt9b,Wnt9b,wnt9b,egl-20,Wnt4,wnt9b
apbb1,XM_015950989.1,XP_015806475.1,APBB1,Apbb1,APBB2,Apbb1,apbb1,apbb1,apbb1,apbb1,Apbb1,apbb1,feh-1,,apbb1
LOC107373420,XM_015941559.1,XP_015797045.1,ARTN,Artn,NRTN,Artn,artna,artna,nrtn,nrtn,Artn,ARTN_1_many,,,artn (1 of 3)
LOC107391168,XM_015968309.1,XP_015823795.1,ARTN,Artn,NRTN,Artn,PSPN,PSPN,,nrtn,Artn,PSPN,,,artn (2 of 3)
LOC107383577,XM_015956328.1,XP_015811814.1,ARTN,Artn,NRTN,Artn,nrtn,nrtn,,nrtn,Artn,nrtn,,,artn (3 of 3)
LOC107375703,XM_015944376.1,XP_015799862.1,TMEM150A,Tmem150a,TMEM150A,Tmem150a,si:dkey-228d14.5,si:dkey-228d14.5,si:dkey-228d14.5,si:dkey-228d14.5,Tmem150a,si:dkey-228d14.5,,CG4025,tmem150a (1 of 4)
LOC107387286,XM_015962171.1,XP_015817657.1,TMEM150A,Tmem150a,TMEM150A,Tmem150a,tmem150aa,zgc:154058,tmem150aa,zgc:154058,Tmem150a,ENSTRUG00000008543,C33A11.2,CG4025,tmem150a (2 of 4)
LOC107375709,XM_015944389.1,XP_015799875.1,TMEM150A,Tmem150a,TMEM150A,Tmem150a,tmem150aa,zgc:154058,tmem150aa,zgc:154058,Tmem150a,zgc:154058,C33A11.2,CG4025,tmem150a (3 of 4)
tmem150a,XM_015972016.1,XP_015827502.1,TMEM150A,Tmem150a,TMEM150A,Tmem150a,tmem150aa,tmem150aa,,tmem150aa,Tmem150a,tmem150aa,C33A11.2,CG4025,tmem150a (4 of 4)
rbm15b,XM_015958304.1,XP_015813790.1,RBM15B,Rbm15b,RBM15B,Rbm15b,rbm15b,rbm15b,rbm15,rbm15b,Rbm15b,rbm15,grld-1,nito,rbm15b
ccnd2,XM_015960585.1,XP_015816071.1,CCND2,Ccnd2,CCND2,Ccnd2,ccnd2b,ccnd2a,ccnd2b,ccnd2b,Ccnd2,ccnd2b,cyd-1,CycD,ccnd2 (1 of 4)
LOC107378596,XM_015948904.1,XP_015804390.1,CCND2,Ccnd2,CCND2,Ccnd2,ccnd1,si:ch211-152f23.5,si:ch211-152f23.5,ccnd1,Ccnd2,ccnd2a,cyd-1,CycD,ccnd2 (2 of 4)
ccnd3,XM_015959869.1,XP_015815355.1,CCND2,Ccnd2,CCND3,Ccnd2,ccnd3,ccnd3,,ccnd3,Ccnd2,ccnd3,cyd-1,CycD,ccnd2 (3 of 4)
LOC107389327,XM_015965415.1,XP_015820901.1,CCND2,Ccnd2,CCND2,Ccnd2,ccnd2b,ccnd2a,,ccnd2a,Ccnd2,ccnd2a,cyd-1,CycD,ccnd2 (4 of 4)
mrpl28,XM_015951450.1,XP_015806936.1,MRPL28,Mrpl28,melanoma,Mrpl28,mrpl28,mrpl28,mrpl28,mrpl28,Mrpl28,mrpl28,mrpl-28,mRpL28,mrpl28
mutyh,XM_015971497.1,XP_015826983.1,MUTYH,Mutyh,MUTYH,Mutyh,MUTYH,si:ch211-241d21.5,,MUTYH,Mutyh,MUTYH,nth-1,CG9272,mutyh
tpx2,XM_015968655.1,XP_015824141.1,TPX2,Tpx2,TPX2,Tpx2,tpx2,tpx2,tpx2,tpx2,Tpx2,tpx2,,,tpx2
LOC107397310,XM_015977263.1,XP_015832749.1,SCO1,Sco1,SCO1,Sco1,SCO1,SCO1,,SCO1,Sco1,SCO1,sco-1,Scox,sco1
LOC107388895,XM_015964692.1,XP_015820178.1,ARPC1A,Arpc1a,ARPC1A,Arpc1a,arpc1a,arpc1a,arpc1a,arpc1a,Arpc1a,arpc1a,arx-3,Arpc1,arpc1a (1 of 2)
LOC107391795,XM_015969236.1,XP_015824722.1,ARPC1A,Arpc1a,ARPC1A,Arpc1a,zgc:86896,zgc:86896,,zgc:86896,Arpc1a,zgc:86896,arx-3,Arpc1,arpc1a (2 of 2)
nfe2l2,XM_015966452.1,XP_015821938.1,NFE2L2,Nfe2l2,NFE2L2,Nfe2l2,nfe2l2a,nfe2l2a,nfe2l2a,nfe2l2a,Nfe2l2,nfe2l2a,skn-1,cnc,nfe2l2 (1 of 2)
nfe2,XM_015967930.1,XP_015823416.1,NFE2L2,Nfe2l2,NFE2L2,Nfe2,nfe2,nfe2,,nfe2,Nfe2,nfe2,skn-1,cnc,nfe2l2 (2 of 2)
spag5,XM_015965258.1,XP_015820744.1,SPAG5,Spag5,ENSGALG00000026433,Spag5,,SPAG5,,ENSGACG00000017382,Spag5,si:ch211-89p3.3,,,spag5
zbtb10,XM_015973784.1,XP_015829270.1,ZBTB10,Zbtb10,ZBTB10,Zbtb10,zbtb10,zbtb10,,zbtb10,Zbtb10,zbtb10,kel-8,l(3)neo38,zbtb10
LOC107394796,XM_015973895.1,XP_015829381.1,UBP1,Ubp1,UBP1,Ubp1,ubp1,ubp1,,ubp1,Ubp1,ubp1,grh-1,gem,ubp1
spag7,XM_015960823.1,XP_015816309.1,SPAG7,Spag7,,Spag7,spag7,spag7,spag7,spag7,Spag7,spag7,,CG2608,spag7
LOC107388757,XM_015964445.1,XP_015819931.1,KLF13,Klf13,KLF13,Klf9,klf13,klf13,klf13,klf13,Klf9,klf13,klf-2,Sp1,klf13
myb,XM_015947095.1,XP_015802581.1,MYB,Myb,c-myb,Myb,myb,myb,myb,myb,Myb,myb,snpc-4,Myb,myb
LOC107395703,XM_015975140.1,XP_015830626.1,UCHL1,Uchl1,UCH-L1,Uchl1,uchl1,uchl1,,uchl1,Uchl1,uchl5,ubh-1,Uch,uchl1
fstl3,XM_015971600.1,XP_015827086.1,FSTL3,Fstl3,FSTL3,Fstl3,fstl3,fstl3,fstl3,fstl3,Fstl3,fstl3,agr-1,Fs,fstl3
LOC107391443,XM_015968763.1,XP_015824249.1,FKBP1B,Fkbp1b,FKBP12,Fkbp1b,fkbp1aa,fkbp1ab,fkbp1ab,fkbp1ab,Fkbp1b,ENSTRUG00000003030,fkb-2,FK506-bp2,fkbp1b (1 of 4)
LOC107391264,XM_015968470.1,XP_015823956.1,FKBP1B,Fkbp1b,FKBP12,Fkbp1a,fkbp1aa,fkbp1aa,ENSORLG00000014598,ENSGACG00000012061,Fkbp1a,ENSTRUG00000003030,fkb-2,FK506-bp2,fkbp1b (2 of 4)
LOC107383764,XM_015956551.1,XP_015812037.1,FKBP1B,Fkbp1b,FKBP12,Fkbp1a,fkbp1b,fkbp1aa,ENSORLG00000017909,fkbp1b,Fkbp1a,ENSTRUG00000003030,fkb-2,FK506-bp2,fkbp1b (3 of 4)
fkbp1b,XM_015948175.1,XP_015803661.1,FKBP1B,Fkbp1b,FKBP1B,Fkbp1b,fkbp1b,fkbp1b,,fkbp1b,Fkbp1b,fkbp1b,fkb-2,FK506-bp2,fkbp1b (4 of 4)
ripk4,XM_015960150.1,XP_015815636.1,RIPK4,Ripk4,RIPK4,Ripk4,ripk4,ripk4,,ripk4,Ripk4,ripk4,unc-44,Ank,ripk4
LOC107376144,XM_015945093.1,XP_015800579.1,TGFBR3,Tgfbr3,TGFBR3,Tgfbr3,tgfbr3,CABZ01064405.1,ENSORLG00000016288,tgfbr3,Tgfbr3,tgfbr3,,,tgfbr3 (1 of 3)
LOC107374660,XM_015942802.1,XP_015798288.1,TGFBR3,Tgfbr3,TGFBR3,Tgfbr3,ENG,tgfbr3,,ENG,Tgfbr3,tgfbr3,,,tgfbr3 (2 of 3)
tgfbr3,XM_015962332.1,XP_015817818.1,TGFBR3,Tgfbr3,TGFBR3,Tgfbr3,tgfbr3,tgfbr3,,tgfbr3,Tgfbr3,tgfbr3,,,tgfbr3 (3 of 3)
LOC107386613,XM_015961138.1,XP_015816624.1,FGF11,Fgf11,FGF12,Fgf11,fgf11a,fgf11b,,fgf11b,Fgf11,fgf11b,let-756,bnl,fgf11
LOC107375623,XM_015944249.1,XP_015799735.1,,,,,TCOF1,si:ch73-308l14.2,,si:ch73-308l14.2,,,,,LOC107375623
mrps28,XM_015972520.1,XP_015828006.1,MRPS28,Mrps28,,Mrps28,mrps28,mrps28,,mrps28,Mrps28,mrps28,mrps-28,mRpS28,mrps28
LOC107380681,XM_015951986.1,XP_015807472.1,CFAP45,Cfap45,CFAP45,Cfap45,cfap45,cfap45,,cfap45,Cfap45,cfap45,,CG11449,cfap45
sspn,XM_015964784.1,XP_015820270.1,SSPN,Sspn,SSPN,Sspn,sspn,sspn,,sspn,Sspn,sspn,,,sspn
LOC107397221,XM_015977149.1,XP_015832635.1,KITLG,Kitl,KITLG,Kitlg,kitlgb,kitlga,kitlgb,kitlga,Kitlg,scf,,,kitlg
immp1l,XM_015954044.1,XP_015809530.1,IMMP1L,Immp1l,IMMP1L,Immp1l,immp1l,immp1l,immp1l,immp1l,Immp1l,immp1l,immp-1,CG9240,immp1l
LOC107381494,XM_015953194.1,XP_015808680.1,FOXB1,Foxb1,FOXB1,Foxb2,foxb1b_1_many,foxb1a,foxb1,foxb1a,Foxb2,FOXB1_1_many,lin-31,fd96Ca,foxb1 (1 of 3)
foxb1,XM_015964452.1,XP_015819938.1,FOXB1,Foxb1,FOXB1,Foxb2,foxb1b_1_many,foxb1a,,foxb1b,Foxb2,foxb1b_1_many,lin-31,fd96Ca,foxb1 (2 of 3)
foxb2,XM_015972714.1,XP_015828200.1,FOXB1,Foxb1,FOXB2,Foxb2,foxb1b_1_many,foxb2,,foxb2,Foxb2,foxb2,lin-31,fd96Ca,foxb1 (3 of 3)
lrrc59,XM_015962837.1,XP_015818323.1,LRRC59,Lrrc59,LRRC59,Lrrc59,lrrc59,lrrc59,lrrc59,lrrc59,Lrrc59,lrrc59,F56A8.3,CG3408,lrrc59
mrpl21,XM_015954512.1,XP_015809998.1,MRPL21,Mrpl21,MRPL21,Mrpl21,mrpl21,mrpl21,,mrpl21,Mrpl21,mrpl21,mrpl-21,mRpL21,mrpl21
psma6,XM_015975659.1,XP_015831145.1,PSMA6,Psma6,PSMA6,Psma6,psma6a,psma6a,psma6a,PSMA6_1_many,Psma6,psma6a,pas-1,Prosalpha1,psma6 (1 of 3)
LOC107396026,XM_015975528.1,XP_015831014.1,PSMA6,Psma6,PSMA6,Psma6,psma6a,psma6a,psma6a,PSMA6_1_many,Psma6,psma6a,pas-1,Prosalpha1,psma6 (2 of 3)
LOC107395010,XM_015974268.1,XP_015829754.1,PSMA6,Psma6,PSMA6,Psma6,psma6a,psma6l,psma6l,psma6l,Psma6,psma6a,pas-1,Prosalpha1,psma6 (3 of 3)
gpx8,XM_015973197.1,XP_015828683.1,GPX8,Gpx8,GPX8,Gpx8,gpx8,gpx8,,gpx8,Gpx8,gpx8,gpx-1,PHGPx,gpx8
hsd11b1l,XM_015971584.1,XP_015827070.1,HSD11B1L,Hsd11b1,HSD11B1L,Dhrs7l1,hsd11b1la,hsd11b1la,hsd11b1la_1_many,11-beta-hsd3,Dhrs7l1,hsd11b1la,Y47G6A.22,CG31549,hsd11b1l (1 of 2)
LOC107393308,XM_015971583.1,XP_015827069.1,HSD11B1L,Hsd11b1,HSD11B1L,Dhrs7l1,hsd11b1la,hsd11b1la,hsd11b1la_1_many,11-beta-hsd3,Dhrs7l1,hsd11b1la,F02C12.2,CG31549,hsd11b1l (2 of 2)
LOC107389379,XM_015965501.1,XP_015820987.1,PARP14,Parp14,ENSGALG00000012072,Parp14,si:ch211-219a4.3,PARP14,si:ch211-219a4.3,si:ch211-219a4.3,Parp14,si:ch211-219a4.3_1_many,B0035.3,Tnks,parp14 (1 of 5)
LOC107377055,XM_015946444.1,XP_015801930.1,PARP14,Parp14,ENSGALG00000012072,Parp14,si:cabz01030277.1,si:cabz01030277.1,si:cabz01030277.1,ENSGACG00000018943,Parp14,si:ch211-219a4.3_1_many,,,parp14 (2 of 5)
LOC107389398,XM_015965529.1,XP_015821015.1,PARP14,Parp14,ENSGALG00000012072,Parp14,si:ch211-219a4.3,PARP14,si:ch211-219a4.3,si:ch211-219a4.3,Parp14,si:ch211-219a4.3_1_many,B0035.3,Tnks,parp14 (3 of 5)
